Title,Date,URL,Status,Playlists
"Sponsored Session: Jupyter AI v3: Human + AI Collaboration - David Qiu, AWS",2025-12-19,https://www.youtube.com/watch?v=-YMCPiQ0ZeA,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Zephyr: A Game Changer for the Automotive Industry - Yuichi Kusakabe, Honda Motor Co., Ltd.",2025-12-19,https://www.youtube.com/watch?v=03NPKnosgaI,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Applying Zephyr RTOS in Spacecraft Development - Takayuki Goto, Space Entry Co., Ltd.",2025-12-19,https://www.youtube.com/watch?v=11UQ7vTKXfs,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"OSPOs and Open Technology - Nithya Ruff, Amazon",2025-12-19,https://www.youtube.com/watch?v=2kKqrFaRteU,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Accelerating Software-Defined Vehicles: SDV-EG Updates & New AGL SDV Referenc... Jerry Jiancong Zhao,2025-12-19,https://www.youtube.com/watch?v=2mudbDBmffU,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Sponsored Session: Observability and Agentic AI - From Observability to Answers... Miki Matsumoto,2025-12-19,https://www.youtube.com/watch?v=37xR_-7WPtQ,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Panel: OSPOjp: Ways To Level up OSPO Stages... Masayuki K, Ana S, Kiyoshi O, Takanori S & Hirotaka M",2025-12-19,https://www.youtube.com/watch?v=3w42UgaraHw,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Devs Just Wanna Have Fun! Enhancing Developer Experience With Natu... Adriana Villela & Adam Gardner,2025-12-19,https://www.youtube.com/watch?v=5A2jOxCC08A,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Lightning Talk: Debugging Edge AI on Zephyr and Lessons Learned - Tomohiro Kaneko,2025-12-19,https://www.youtube.com/watch?v=9ah8adoA9_Y,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Automotive Grade Linux (AGL) Update - Walt Miner, The Linux Foundation",2025-12-19,https://www.youtube.com/watch?v=CqhrrAZReAs,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Secure Authorization for Agentic AI in Multi-Domain Environments - Yoshiyuki Tabata, Hitachi, Ltd.",2025-12-19,https://www.youtube.com/watch?v=hidTdGz_2eg,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Keynote: What is Learning in the AI Era? - Stefania Druga, Research Scientist, Sakana AI",2025-12-19,https://www.youtube.com/watch?v=kxzU8cMcq5k,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
